code,title,department,category,tags,au,credit,level,crossRecognition,courseNo,"대체과목
(재수강)",학과(한국어),분류(한국어),과정구분(한국어)
AE.10000,창공과 우주,AE,BE,,0 ,3 ,UG,N,10000 ,"[AE.10000],MAE.10007",항공우주공학과,기초선택,학사과정
AE.20000,기초 우주 프로젝트,AE,ME,,0 ,3 ,UG,N,20000 ,"[AE.20000],MAE.20091",항공우주공학과,전공선택,학사과정
AE.20001,기초항공프로젝트,AE,ME,,0 ,3 ,UG,N,20001 ,AE.20001,항공우주공학과,전공선택,학사과정
AE.20008,항공우주공학 실험Ⅰ,AE,MR,,0 ,3 ,UG,N,20008 ,[AE.20008],항공우주공학과,전공필수,학사과정
AE.21000,항공우주 열역학,AE,MR,,0 ,3 ,UG,N,21000 ,"[AE.21000],[ME.20011],AE.21000,MAE.20010",항공우주공학과,전공필수,학사과정
AE.22000,공기역학Ⅰ,AE,MR,,0 ,3 ,UG,N,22000 ,"[AE.22000],MAE.20020",항공우주공학과,전공필수,학사과정
AE.23000,항공우주 재료역학,AE,ME,,0 ,3 ,UG,N,23000 ,"[AE.23000],[ME.20031],AE.23000,MAE.20030",항공우주공학과,전공선택,학사과정
AE.25000,항공우주 동역학,AE,ME,,0 ,3 ,UG,N,25000 ,"[AE.25000],MAE.20050",항공우주공학과,전공선택,학사과정
AE.28000,항공우주 응용S/W,AE,ME,,0 ,3 ,UG,N,28000 ,"[AE.28000],MAE.20085",항공우주공학과,전공선택,학사과정
AE.30000,비행역학 프로젝트,AE,MR,,0 ,3 ,UG,N,30000 ,"[AE.30000],[AE.30000],MAE.30065",항공우주공학과,전공필수,학사과정
AE.30007,항공우주공학 실험Ⅱ,AE,MR,,0 ,3 ,UG,N,30007 ,"[AE.30007],AE.30009",항공우주공학과,전공필수,학사과정
AE.30008,항공우주공학 실험Ⅰ,AE,MR,,0 ,2 ,UG,N,30008 ,"[AE.30008],MAE.30008",항공우주공학과,전공필수,학사과정
AE.30009,항공우주공학 실험Ⅱ,AE,MR,,0 ,2 ,UG,N,30009 ,"[AE.30007],[AE.30009],AE.30009,MAE.30009",항공우주공학과,전공필수,학사과정
AE.31000,추진기관,AE,ME,,0 ,3 ,UG,N,31000 ,"[AE.31000],MAE.30015",항공우주공학과,전공선택,학사과정
AE.31001,항공우주 열전달,AE,ME,,0 ,3 ,UG,N,31001 ,"[AE.31001],[ME.30011],AE.31001,MAE.30011",항공우주공학과,전공선택,학사과정
AE.32000,공기역학Ⅱ,AE,ME,,0 ,3 ,UG,N,32000 ,"[AE.32000],MAE.30025",항공우주공학과,전공선택,학사과정
AE.32001,압축성 공기역학,AE,ME,,0 ,3 ,UG,N,32001 ,"[AE.32001],MAE.30026",항공우주공학과,전공선택,학사과정
AE.33000,항공우주 구조역학Ⅰ,AE,MR,,0 ,3 ,UG,N,33000 ,"[AE.33000],MAE.30035",항공우주공학과,전공필수,학사과정
AE.33001,항공우주 구조역학Ⅱ,AE,ME,,0 ,3 ,UG,N,33001 ,"[AE.33001],MAE.40035",항공우주공학과,전공선택,학사과정
AE.35000,항공우주 제어공학,AE,ME,,0 ,3 ,UG,N,35000 ,"[AE.35000],MAE.40064",항공우주공학과,전공선택,학사과정
AE.37000,수치해석,AE,ME,,0 ,3 ,UG,N,37000 ,"[AE.37000],[ME.30001],AE.37000,MAE.30001",항공우주공학과,전공선택,학사과정
AE.40000,항공우주 시스템 설계Ⅰ,AE,MR,,0 ,3 ,UG,Y,40000 ,"[AE.40000],[AE.40002],AE.40000,MAE.40005",항공우주공학과,전공필수,학사과정
AE.40001,우주시스템 설계,AE,ME,,0 ,3 ,UG,Y,40001 ,"[AE.40001],MAE.40006",항공우주공학과,전공선택,학사과정
AE.40001,항공우주 시스템 설계Ⅱ,AE,ME,,0 ,3 ,UG,Y,40001 ,"[AE.40001],MAE.40006",항공우주공학과,전공선택,학사과정
AE.40002,항공시스템 설계,AE,ME,,0 ,3 ,UG,Y,40002 ,"[AE.40002],AE.40000",항공우주공학과,전공선택,학사과정
AE.40005,인공위성 시스템,AE,ME,,0 ,3 ,UG,Y,40005 ,"[AE.40005],MAE.40066",항공우주공학과,전공선택,학사과정
AE.40009,항공우주응용수학,AE,ME,,0 ,3 ,UG,N,40009 ,AE.40009,항공우주공학과,전공선택,학사과정
AE.41000,연소공학,AE,ME,,0 ,3 ,UG,Y,41000 ,"[AE.41000],MAE.40015",항공우주공학과,전공선택,학사과정
AE.42000,점성공기역학,AE,ME,,0 ,3 ,UG,Y,42000 ,"[AE.42000],MAE.40025",항공우주공학과,전공선택,학사과정
AE.43005,진동공학 및 기초공탄성,AE,ME,,0 ,3 ,UG,Y,43005 ,"[AE.43005],MAE.30051",항공우주공학과,전공선택,학사과정
AE.45000,비행동역학 및 제어,AE,ME,,0 ,3 ,UG,Y,45000 ,"[AE.45000],MAE.40065",항공우주공학과,전공선택,학사과정
AE.45005,위성항법 시스템,AE,ME,,0 ,3 ,UG,Y,45005 ,"[AE.45005],MAE.40063",항공우주공학과,전공선택,학사과정
AE.48000,항공우주 응용전자공학,AE,ME,,0 ,3 ,UG,Y,48000 ,"[AE.48000],[AE.48000],MAE.30000,MAE.40067",항공우주공학과,전공선택,학사과정
AE.49902,항공우주공학 특강,AE,ME,특강,0 ,3 ,UG,Y,49902 ,,항공우주공학과,전공선택,학사과정
AE.49903,항공우주공학 특강Ⅱ,AE,ME,특강,0 ,2 ,UG,Y,49903 ,"[AE.49903],AE.20001,MAE.49909",항공우주공학과,전공선택,학사과정
AE.49904,항공우주공학 특강Ⅲ,AE,ME,특강,0 ,1 ,UG,Y,49904 ,,항공우주공학과,전공선택,학사과정
AE.50000,통합적 항공우주 시스템 설계,AE,GE,,0 ,3 ,GR,Y,50000 ,"[AE.50000],MAE.50065",항공우주공학과,선택(석/박사),석/박사과정
AE.50001,항공우주 시스템의 다분야 최적 설계,AE,GE,,0 ,3 ,GR,Y,50001 ,"[AE.50001],MAE.50058",항공우주공학과,선택(석/박사),석/박사과정
AE.50005,불확실성하의 공학 프로젝트 평가론,AE,GE,,0 ,3 ,GR,Y,50005 ,"[AE.50005],MAE.50057",항공우주공학과,선택(석/박사),석/박사과정
AE.50070,미래항공시스템,AE,GE,,0 ,3 ,GR,N,50070 ,,항공우주공학과,선택(석/박사),석/박사과정
AE.51000,공기열역학 및 연소,AE,GE,,0 ,3 ,GR,Y,51000 ,"[AE.51000],MAE.50093",항공우주공학과,선택(석/박사),석/박사과정
AE.51001,복사 및 연소현상론,AE,GE,,0 ,3 ,GR,Y,51001 ,"[AE.51001],MAE.50094",항공우주공학과,선택(석/박사),석/박사과정
AE.51006,로켓시스템 공학,AE,GE,,0 ,3 ,GR,Y,51006 ,"[AE.51006],MAE.50018",항공우주공학과,선택(석/박사),석/박사과정
AE.51071,미래우주시스템,AE,GE,,0 ,3 ,GR,N,51071 ,,항공우주공학과,선택(석/박사),석/박사과정
AE.52000,고등공기역학,AE,GE,,0 ,3 ,GR,Y,52000 ,"[AE.52000],MAE.50022",항공우주공학과,선택(석/박사),석/박사과정
AE.52001,헬리콥터 항공역학,AE,GE,,0 ,3 ,GR,Y,52001 ,"[AE.52001],MAE.50023",항공우주공학과,선택(석/박사),석/박사과정
AE.52002,전산유체역학,AE,GE,,0 ,3 ,GR,Y,52002 ,"[AE.52002],MAE.50024",항공우주공학과,선택(석/박사),석/박사과정
AE.52003,공력음향학,AE,GE,,0 ,3 ,GR,Y,52003 ,"[AE.52003],MAE.50028",항공우주공학과,선택(석/박사),석/박사과정
AE.52005,공기역학 실험,AE,GE,,0 ,3 ,GR,Y,52005 ,"[AE.52005],MAE.50027",항공우주공학과,선택(석/박사),석/박사과정
AE.53000,비행체 구조역학,AE,GE,,0 ,3 ,GR,Y,53000 ,"[AE.53000],MAE.50038",항공우주공학과,선택(석/박사),석/박사과정
AE.53001,구조동역학,AE,GE,,0 ,3 ,GR,Y,53001 ,"[AE.53001],MAE.50040",항공우주공학과,선택(석/박사),석/박사과정
AE.53002,복합재료역학,AE,GE,,0 ,3 ,GR,Y,53002 ,"[AE.53002],MAE.50042",항공우주공학과,선택(석/박사),석/박사과정
AE.53005,스마트 복합재 실험,AE,GE,,0 ,3 ,GR,Y,53005 ,"[AE.53005],MAE.50084",항공우주공학과,선택(석/박사),석/박사과정
AE.53006,종이접기 공학,AE,GE,,0 ,3 ,GR,Y,53006 ,AE.53006,항공우주공학과,선택(석/박사),석/박사과정
AE.55000,우주비행체 동역학,AE,GE,,0 ,3 ,GR,Y,55000 ,"[AE.55000],MAE.50097",항공우주공학과,선택(석/박사),석/박사과정
AE.55001,비행체 최적제어 개론,AE,GE,,0 ,3 ,GR,Y,55001 ,"[AE.55001],MAE.50095",항공우주공학과,선택(석/박사),석/박사과정
AE.55002,고등 선형안정 및 제어,AE,GE,,0 ,3 ,GR,Y,55002 ,"[AE.55002],MAE.50096",항공우주공학과,선택(석/박사),석/박사과정
AE.55006,항공우주응용 인공지능 기법,AE,GE,,0 ,3 ,GR,Y,55006 ,AE.55006,항공우주공학과,선택(석/박사),석/박사과정
AE.58000,원격탐사를 위한 위성시스템 응용,AE,GE,,0 ,3 ,GR,Y,58000 ,"[AE.58000],MAE.50056",항공우주공학과,선택(석/박사),석/박사과정
AE.58070,미래항공우주융합기술,AE,GE,,0 ,3 ,GR,N,58070 ,,항공우주공학과,선택(석/박사),석/박사과정
AE.59900,항공우주공학특론Ⅱ,AE,GE,특강,0 ,3 ,GR,Y,59900 ,"AE.53006,AE.55006",항공우주공학과,선택(석/박사),석/박사과정
AE.62000,고등기체역학,AE,GE,,0 ,3 ,GR,N,62000 ,,항공우주공학과,선택(석/박사),석/박사과정
AE.62001,극음속 유동,AE,GE,,0 ,3 ,GR,N,62001 ,,항공우주공학과,선택(석/박사),석/박사과정
AE.63001,공력탄성학,AE,GE,,0 ,3 ,GR,N,63001 ,,항공우주공학과,선택(석/박사),석/박사과정
AE.65000,항법 및 유도,AE,GE,,0 ,3 ,GR,N,65000 ,,항공우주공학과,선택(석/박사),석/박사과정
AE.65001,고등 항법 시스템 및 응용,AE,GE,,0 ,3 ,GR,N,65001 ,,항공우주공학과,선택(석/박사),석/박사과정
