code,title,department,category,credit,au,tags
BS.10020,일반생물학,BS,BR,3,0,
CH.10001,일반화학 I,CH,BR,3,0,
CH.10002,일반화학실험 I,CH,BR,1,0,
CH.10005,고급화학,CH,BR,3,0,
CS.10001,프로그래밍기초,CS,BR,3,0,
CS.10003,인공지능 기초,CS,BR,3,0,
MAS.10001,미적분학 I,MAS,BR,3,0,
MAS.10002,미적분학 II,MAS,BR,3,0,
PH.10041,일반물리학 I,PH,BR,3,0,
PH.10042,일반물리학 II,PH,BR,3,0,
PH.10051,일반물리학실험 I,PH,BR,1,0,
PH.10052,일반물리학실험 II,PH,BR,1,0,
PH.10061,고급물리학 I,PH,BR,3,0,
PH.10062,고급물리학 II,PH,BR,3,0,
PH.10071,실험 중심의 체감형 일반물리학 1,PH,BR,4,0,
PH.10072,실험 중심의 체감형 일반물리학 2,PH,BR,4,0,
AE.10000,창공과 우주,AE,BE,3,0,
BS.10022,생명의 다양성,BS,BE,3,0,
BTM.10001,모든 것의 경영,BTM,BE,3,0,
BiS.10002,바이오공학의 이해,BiS,BE,3,0,
CBE.10000,공학 속 화학과 생물,CBE,BE,3,0,
CE.10001,지속가능한 환경 및 에너지공학개론,CE,BE,3,0,
CE.10001,지속가능 사회 인프라 시스템과 환경의 이해,CE,BE,3,0,
CH.10003,일반화학 II,CH,BE,3,0,
CH.10004,일반화학실험 II,CH,BE,3,0,
CS.10009,프로그래밍 실습,CS,BE,3,0,
CoE.20002,인공지능 입문,CoE,BE,3,0,특강
CoE.20003,IT융합 디자인 프로젝트,CoE,BE,3,0,
CoE.20007,창업입문,CoE,BE,3,0,
ED.20000,"빛, 생명, 그리고 색채",ED,BE,3,0,
EE.10005,전자공학의 현재와 미래,EE,BE,3,0,
ID.20001,디자인과 생활,ID,BE,3,0,
ID.20001,디자인 개론,ID,BE,3,0,
ID.20002,발상과 표현,ID,BE,3,0,
IE.10001,OR개론,IE,BE,3,0,
MAS.10009,선형대수학개론,MAS,BE,3,0,
MAS.10010,데이터과학을 위한 선형대수학,MAS,BE,3,0,
MAS.20001,응용미분방정식,MAS,BE,3,0,
MAS.20002,응용해석학,MAS,BE,3,0,
MAS.20050,확률및통계,MAS,BE,3,0,
ME.10006,인간과 기계,ME,BE,3,0,
MS.20011,신소재과학개론,MS,BE,3,0,
MSB.10001,모든 것의 경영,MSB,BE,3,0,
MSE.10001,인체와 질병,MSE,BE,3,0,
NQE.10001,원자력과 양자의 세계,NQE,BE,3,0,
PH.10052,일반물리학실험 II,PH,BE,1,0,
STP.10010,엔지니어의 삶,STP,BE,3,0,
AE.20000,기초 우주 프로젝트,AE,ME,3,0,
AE.20001,기초항공프로젝트,AE,ME,3,0,
AE.20008,항공우주공학 실험 I,AE,MR,3,0,
AE.21000,항공우주 열역학,AE,MR,3,0,
AE.22000,공기역학,AE,MR,3,0,
AE.23000,항공우주 재료역학,AE,ME,3,0,
AE.25000,항공우주 동역학,AE,ME,3,0,
AE.28000,항공우주 응용S/W,AE,ME,3,0,
AE.30000,비행역학 프로젝트,AE,MR,3,0,
AE.30007,항공우주공학 실험 II,AE,MR,3,0,
AE.30008,항공우주공학 실험 I,AE,MR,2,0,
AE.30009,항공우주공학 실험 II,AE,MR,2,0,
AE.31000,추진기관,AE,ME,3,0,
AE.31001,항공우주 열전달,AE,ME,3,0,
AE.32000,공기역학 II,AE,ME,3,0,
AE.32001,압축성 공기역학,AE,ME,3,0,
AE.33000,항공우주 구조역학 I,AE,MR,3,0,
AE.33001,항공우주 구조역학 II,AE,ME,3,0,
AE.35000,항공우주 제어공학,AE,ME,3,0,
AE.37000,수치해석,AE,ME,3,0,
AE.40000,항공우주 시스템 설계 I,AE,MR,3,0,
AE.40001,항공우주 시스템 설계 II,AE,ME,3,0,
AE.40001,우주시스템 설계,AE,ME,3,0,
AE.40002,항공시스템 설계,AE,ME,3,0,
AE.40005,인공위성 시스템,AE,ME,3,0,
AE.40009,항공우주응용수학,AE,ME,3,0,
AE.41000,연소공학,AE,ME,3,0,
AE.42000,점성공기역학,AE,ME,3,0,
AE.43005,진동공학 및 기초공탄성,AE,ME,3,0,
AE.45000,비행동역학 및 제어,AE,ME,3,0,
AE.45005,위성항법 시스템,AE,ME,3,0,
AE.48000,항공우주 응용전자공학,AE,ME,3,0,
AE.49902,항공우주공학 특강,AE,ME,3,0,특강
AE.49903,항공우주공학 특강 II,AE,ME,2,0,특강
AE.49904,항공우주공학 특강 III,AE,ME,1,0,특강
AE.50000,통합적 항공우주 시스템 설계,AE,GE,3,0,
AE.50001,항공우주 시스템의 다분야 최적 설계,AE,GE,3,0,
